pre_field1_0,pre_field2_0,pre_field3_0,pre_field4_0,pre_field5_0,pre_field6_0,pre_field_T_0,post_field1_0,post_field2_0,post_field3_0,post_field4_0,post_field5_0,post_field6_0,post_field_T_0
0.729132472633179,0.80153336632239,0.691725074372242,0.580668172410117,0.816224749941297,0.0557439668454363,3.6750278025246614,0.970932594639597,0.789231625009165,0.86101774658617,0.739042679318086,0.585976170095277,0.187329115772089,4.133529931420384
0.119902638061976,0.294627979945176,0.151786912266874,0.88484029793922,0.843142334109912,0.639448684223158,2.933748846546316,0.483165241815287,0.699020249901176,0.589299865940094,0.856686527504181,0.555741419890873,0.914334356087515,4.098247661139126
0.305572127435204,0.673857610865159,0.675870125644941,0.375777694153024,0.374957634206285,0.750595370545175,3.1566305628497884,0.565689845905849,0.671083824222502,0.408748325944011,0.474118855519886,0.407397696560544,0.766780990001831,3.2938195381546227
0.492630450005833,0.129601865932395,0.0431615349986956,0.967896069000409,0.904720094993356,0.601485638843192,3.1394956537738805,0.871656643215004,0.157911059606157,0.573452814652278,0.934523852510589,0.387104328708011,0.668433215653821,3.5930819143458597
0.31917009574262,0.280010160887123,0.887413173634435,0.202067736613344,0.442651872435468,0.819275437683794,2.950588476996784,0.77081229960445,0.73542199512668,0.0923355077172938,0.004431819062002,0.393885130357983,0.992119480409348,2.989006232277757
0.0554035843836703,0.231055398398319,0.677321986790634,0.798495731011056,0.307256190563577,0.773815495170686,2.8433483863179427,0.567102479900371,0.0363802408822139,0.598771467120452,0.7698762921432,0.326023130937249,0.544603087324746,2.842756698308232
0.0158284696484238,0.756873319443954,0.0985394357541318,0.620712458729931,0.0202717686246911,0.0945817541186075,1.6068072063197392,0.466008158871842,0.0885309378017698,0.74908776729364,0.214729387992285,0.686025112175466,0.456702332153528,2.661083696288531
0.680114064996406,0.373424362911758,0.0772523638521293,0.414359923404805,0.343063619338702,0.0155009025368391,1.9037152370406396,0.618042276249438,0.826856300878686,0.859910724548019,0.934552710096325,0.891362528887722,0.591160386925506,4.721884927585696
0.936937548368888,0.499138401368333,0.0489951585266393,0.844617793858009,0.347683349469794,0.638029688347627,3.31540193993929,0.409922218787524,0.545505797576753,0.618754698723612,0.220602548176809,0.477340470140461,0.738996439208491,3.01112217261365
0.515494521369898,0.910449676683814,0.863779598794863,0.289648710677315,0.636454323648352,0.639252726282501,3.855079557456743,0.85582729418894,0.0475032913759159,0.89676661415893,0.0899757877546907,0.715721655901727,0.487603048461479,3.0933976918416826
0.355846432144204,0.478557535366066,0.719808101907179,0.0583955164514671,0.857434661075874,0.703029518168707,3.1730717651134968,0.479018499451389,0.68359461749358,0.958758592914137,0.76903118392855,0.224826059900943,0.427069735077118,3.542298688765717
0.282748326220062,0.656290648755188,0.485707948551372,0.0682967389468163,0.0619780133708306,0.670034657891936,2.225056333736205,0.86517481423038,0.257834177288171,0.411915048220966,0.626545653066701,0.470473874064108,0.561041729442486,3.192985296312812
0.83709993861151,0.091786377747633,0.111904206026362,0.241859914035304,0.499354282708418,0.957781123195193,2.73978584232442,0.306413738866866,0.512789109907186,0.121842389296757,0.815675778867473,0.326201924365497,0.598836712699593,2.681759654003372
0.225782118895006,0.888631800923549,0.861208569797124,0.137014489592319,0.20411055614904,0.51610880812784,2.8328563434848784,0.571436340619319,0.748168484183744,0.346785789149115,0.0389613604510405,0.900411714629683,0.235458124585285,2.841221813618187
0.904501611746653,0.846579834493221,0.555814766328571,0.449724079495344,0.21532477006008,0.844197769532241,3.81614283165611,0.714316886072013,0.268194504564564,0.954218977157113,0.947478449233965,0.497784587778331,0.825985931923913,4.207979336729899
0.818327329393588,0.646789047983714,0.568882812725473,0.215946846407112,0.718842808192726,0.346882522739734,3.3156713674423473,0.33953107902065,0.492845131615504,0.956331893211883,0.552297835921459,0.453121620595933,0.814831624892725,3.608959185258154
0.714655312547975,0.160661780206115,0.581989924674434,0.714032452481532,0.175524304892705,0.0622518631396062,2.4091156379423677,0.763656298361067,0.528463382182537,0.902283759939104,0.0718234950381746,0.170311547445119,0.349136647425861,2.7856751303918625
0.501144966683929,0.257455965996425,0.479422276285384,0.823761873364141,0.475783925440427,0.0729306614018814,2.610499669172187,0.28828444822601,0.0273132152601943,0.186141671293173,0.465647604114679,0.869517054998071,0.391769088829657,2.228673082721784
0.844772734864615,0.316969603102772,0.533131493338733,0.208293199950765,0.984779416187002,0.878313579644527,3.7662600270884137,0.196848533912781,0.544305913635642,0.179782349947615,0.281382033468612,0.504687818433456,0.354778400553084,2.06178504995119
0.148695261740929,0.357470691892528,0.798392547722631,0.0822836510426862,0.933044254139202,0.962510579755018,3.2823969862929943,0.231429844217826,0.378442680502049,0.531907380472359,0.672034638705556,0.0405188851257332,0.0930195371447734,1.9473529661682965
